word,category
-a,Inflectional
-abil,Inflectional
-acağ-,Inflectional
-acak,Inflectional
-alım,Inflectional
-ama,Inflectional
-an,Derivational
-ar,Inflectional
-arak,Derivational
-asın,Inflectional
-asınız,Inflectional
-ayım,Inflectional
-da,Inflectional
-dan,Inflectional
-de,Inflectional
-den,Inflectional
-dı,Inflectional
-dığ-,Derivational
-dık,Derivational
-dıkça,Derivational
-dır,Functional
-di,Inflectional
-diğ-,Derivational
-dik,Derivational
-dikçe,Derivational
-dir,Functional
-du,Inflectional
-duğ-,Derivational
-duk,Derivational
-dukça,Derivational
-dur,Functional
-dü,Inflectional
-düğ-,Derivational
-dük,Derivational
-dükçe,Derivational
-dür,Functional
-e,Inflectional
-ebil,Inflectional
-eceğ-,Inflectional
-ecek,Inflectional
-elim,Inflectional
-eme,Inflectional
-en,Derivational
-er,Inflectional
-erek,Derivational
-esin,Inflectional
-esiniz,Inflectional
-eyim,Inflectional
-ı,Inflectional
-ım,Inflectional
-ımız,Inflectional
-ın,Inflectional
-ın-,Inflectional
-ınca,Derivational
-ınız,Inflectional
-ıp,Derivational
-ır,Inflectional
-ıyor,Inflectional
-ız,Inflectional
-i,Inflectional
-im,Inflectional
-imiz,Inflectional
-in,Inflectional
-in-,Inflectional
-ince,Derivational
-iniz,Inflectional
-ip,Derivational
-ir,Inflectional
-iyor,Inflectional
-iz,Inflectional
-k,Inflectional
-laş,Derivational
-ken,Derivational
-la,Inflectional
-lar,Inflectional
-ları,Inflectional
-ların-,Inflectional
-le,Inflectional
-ler,Inflectional
-leri,Inflectional
-li,Derivational
-lerin-,Inflectional
-m,Inflectional
-ma,Inflectional
-madan,Inflectional
-mak,Derivational
-maksızın,Derivational
-makta,Derivational
-maktansa,Derivational
-malı,Inflectional
-maz,Inflectional
-me,Inflectional
-meden,Inflectional
-mek,Derivational
-meksizin,Derivational
-mekte,Derivational
-mektense,Derivational
-meli,Inflectional
-mez,Inflectional
-mı,Functional
-mış,Inflectional
-mız,Inflectional
-mi,Functional
-miş,Inflectional
-miz,Inflectional
-mu,Functional
-muş,Inflectional
-mü,Functional
-muz,Inflectional
-müş,Inflectional
-müz,Inflectional
-n,Inflectional
-nın,Inflectional
-nız,Inflectional
-nin,Inflectional
-niz,Inflectional
-nun,Inflectional
-nuz,Inflectional
-nün,Inflectional
-nüz,Inflectional
-r,Inflectional
-sa,Inflectional
-se,Inflectional
-sı,Inflectional
-sın,Inflectional
-sın-,Inflectional
-sınız,Inflectional
-sınlar,Inflectional
-si,Inflectional
-sin,Inflectional
-sin-,Inflectional
-siniz,Inflectional
-sinler,Inflectional
-su,Inflectional
-sun,Inflectional
-sun-,Inflectional
-sunlar,Inflectional
-sunuz,Inflectional
-sü,Inflectional
-sün,Inflectional
-sün-,Inflectional
-sünler,Inflectional
-sünüz,Inflectional
-ta,Inflectional
-tan,Inflectional
-te,Inflectional
-ten,Inflectional
-tı,Inflectional
-tığ-,Derivational
-tık,Derivational
-tıkça,Derivational
-tır,Functional
-ti,Inflectional
-tiğ-,Derivational
-tik,Derivational
-l,Inflectional
-ci,Derivational
-tikçe,Derivational
-tir,Functional
-tu,Inflectional
-tuğ-,Derivational
-tuk,Derivational
-tukça,Derivational
-tur,Functional
-tü,Inflectional
-tüğ-,Derivational
-tük,Derivational
-tükçe,Derivational
-tür,Functional
-u,Inflectional
-um,Inflectional
-umuz,Inflectional
-un,Inflectional
-un-,Inflectional
-unca,Inflectional
-unuz,Inflectional
-up,Derivational
-ur,Inflectional
-uyor,Inflectional
-uz,Inflectional
-ü,Inflectional
-üm,Inflectional
-ümüz,Inflectional
-ün,Inflectional
-ün-,Inflectional
-ünce,Inflectional
-ünüz,Inflectional
-üp,Derivational
-ür,Inflectional
-üyor,Inflectional
-üz,Inflectional
-ya,Inflectional
-yabil-,Inflectional
-yacağ-,Inflectional
-yacak,Inflectional
-yalım,Inflectional
-yama,Inflectional
-yan,Derivational
-yarak,Derivational
-yasın,Inflectional
-yasınız,Inflectional
-yayım,Inflectional
-ydı,Functional
-ydi,Functional
-ydu,Functional
-ydü,Functional
-ye,Inflectional
-yebil,Inflectional
-yeceğ-,Inflectional
-yecek,Inflectional
-yelim,Inflectional
-yeme,Inflectional
-yen,Derivational
-yerek,Derivational
-yesin,Inflectional
-yesiniz,Inflectional
-yeyim,Inflectional
-yı,Inflectional
-yım,Functional
-yın,Inflectional
-yınca,Derivational
-yınız,Inflectional
-yıp,Derivational
-yız,Functional
-yi,Inflectional
-yim,Functional
-yin,Inflectional
-yince,Derivational
-yiniz,Inflectional
-yip,Derivational
-yiz,Functional
-yken,Derivational
-yla,Inflectional
-yle,Inflectional
-ymış,Functional
-ymiş,Functional
-ymuş,Functional
-ymüş,Functional
-ysa,Functional
-yse,Functional
-yu,Inflectional
-yum,Inflectional
-yun,Inflectional
-yunca,Inflectional
-yunuz,Inflectional
-yup,Derivational
-yü,Inflectional
-yuz,Functional
-yüm,Inflectional
-yün,Inflectional
-yünce,Inflectional
-yünüz,Inflectional
-yüp,Derivational
-yüz,Functional
